,article_title,country,population,region,article_quality,revision_id
0,Shahjahan Noori,Afghanistan,41.1,SOUTH ASIA,GA,1099689043.0
1,Abdul Ghafar Lakanwal,Afghanistan,41.1,SOUTH ASIA,Start,943562276.0
2,Majah Ha Adrif,Afghanistan,41.1,SOUTH ASIA,Start,852404094.0
3,Haroon al-Afghani,Afghanistan,41.1,SOUTH ASIA,B,1095102390.0
4,Tayyab Agha,Afghanistan,41.1,SOUTH ASIA,Start,1104998382.0
5,Ahmadullah Wasiq,Afghanistan,41.1,SOUTH ASIA,Start,1109361754.0
6,Aziza Ahmadyar,Afghanistan,41.1,SOUTH ASIA,Start,1087211008.0
7,Muqadasa Ahmadzai,Afghanistan,41.1,SOUTH ASIA,Start,1082489593.0
8,Mohammad Sarwar Ahmedzai,Afghanistan,41.1,SOUTH ASIA,Start,1038918070.0
9,Amir Muhammad Akhundzada,Afghanistan,41.1,SOUTH ASIA,Start,1069322182.0
10,Nasrullah Baryalai Arsalai,Afghanistan,41.1,SOUTH ASIA,Start,1095526840.0
11,Mohammad Asim Asim,Afghanistan,41.1,SOUTH ASIA,Stub,1013838830.0
12,Atiqullah Atifmal,Afghanistan,41.1,SOUTH ASIA,Start,1112407669.0
13,Abdul Rahim Ayoubi,Afghanistan,41.1,SOUTH ASIA,Start,1108886061.0
14,Alhaj Mutalib Baig,Afghanistan,41.1,SOUTH ASIA,Start,1111494041.0
15,Ismael Balkhi,Afghanistan,41.1,SOUTH ASIA,Start,1112534409.0
16,Abdul Baqi Turkistani,Afghanistan,41.1,SOUTH ASIA,Stub,889226470.0
17,Mohammad Ghous Bashiri,Afghanistan,41.1,SOUTH ASIA,Start,1102150221.0
18,Abas Basir,Afghanistan,41.1,SOUTH ASIA,C,1098419766.0
19,Jan Baz,Afghanistan,41.1,SOUTH ASIA,Stub,997027082.0
20,Ahmad Behzad,Afghanistan,41.1,SOUTH ASIA,Start,1103948295.0
21,Bashir Ahmad Bezan,Afghanistan,41.1,SOUTH ASIA,Start,1060707209.0
22,Rafiullah Bidar,Afghanistan,41.1,SOUTH ASIA,Stub,977208323.0
23,Mohammad Siddiq Chakari,Afghanistan,41.1,SOUTH ASIA,Stub,1105913099.0
24,Cheragh Ali Cheragh,Afghanistan,41.1,SOUTH ASIA,Start,1087211968.0
25,Nasir Ahmad Durrani,Afghanistan,41.1,SOUTH ASIA,Stub,988838315.0
26,Elay Ershad,Afghanistan,41.1,SOUTH ASIA,Stub,1102489654.0
27,Muhammad Hashim Esmatullahi,Afghanistan,41.1,SOUTH ASIA,Stub,949986748.0
28,Ezatullah (Nangarhar),Afghanistan,41.1,SOUTH ASIA,Stub,947885788.0
29,Aimal Faizi,Afghanistan,41.1,SOUTH ASIA,Stub,1033383351.0
30,Mohammad Nasim Faqiri,Afghanistan,41.1,SOUTH ASIA,Start,1098051193.0
31,Mohammad Nazar Faqiri,Afghanistan,41.1,SOUTH ASIA,Stub,1095525798.0
32,Sharif Ghalib,Afghanistan,41.1,SOUTH ASIA,B,1041460606.0
33,Hashmat Ghani Ahmadzai,Afghanistan,41.1,SOUTH ASIA,C,1112933356.0
34,Abdul Ghani Ghani,Afghanistan,41.1,SOUTH ASIA,Stub,1072441893.0
35,Ashraf Ghani,Afghanistan,41.1,SOUTH ASIA,B,1113195582.0
36,Abdul Samad Ghaus,Afghanistan,41.1,SOUTH ASIA,Stub,1072271854.0
37,Ghulam Ghaus,Afghanistan,41.1,SOUTH ASIA,Stub,1115758710.0
38,Ghulam Muhammad Ghobar,Afghanistan,41.1,SOUTH ASIA,Stub,1108886395.0
39,Mohammad Gul (Helmand Council),Afghanistan,41.1,SOUTH ASIA,Stub,1092523687.0
40,Ghulam Haider Hamidi,Afghanistan,41.1,SOUTH ASIA,Start,1095018556.0
41,Rangina Hamidi,Afghanistan,41.1,SOUTH ASIA,C,1104280812.0
42,Abdul Malik Hamwar,Afghanistan,41.1,SOUTH ASIA,Stub,1100874645.0
43,Sayed Zafar Hashemi,Afghanistan,41.1,SOUTH ASIA,Start,1112804808.0
44,Qutbuddin Hilal,Afghanistan,41.1,SOUTH ASIA,Start,1104423275.0
45,Shahnaz Himmeti,Afghanistan,41.1,SOUTH ASIA,Stub,909966254.0
46,Anarkali Kaur Honaryar,Afghanistan,41.1,SOUTH ASIA,Start,1069574154.0
47,Mahboba Hoqomal,Afghanistan,41.1,SOUTH ASIA,Stub,1092518990.0
48,Musa Hotak,Afghanistan,41.1,SOUTH ASIA,Start,1094201417.0
49,Mirza Muhammad Ismail,Afghanistan,41.1,SOUTH ASIA,C,1073524466.0
50,Sayed Jalal,Afghanistan,41.1,SOUTH ASIA,Start,1078580238.0
51,Said Tayeb Jawad,Afghanistan,41.1,SOUTH ASIA,C,1093621927.0
52,Faizullah Kakar,Afghanistan,41.1,SOUTH ASIA,C,1108932917.0
53,Amin Karim,Afghanistan,41.1,SOUTH ASIA,C,1106333491.0
54,Sayed Jalal Karim,Afghanistan,41.1,SOUTH ASIA,Start,1060701067.0
55,Ahmed Wali Karzai,Afghanistan,41.1,SOUTH ASIA,GA,1090245979.0
56,Khadija Zahra Ahmadi,Afghanistan,41.1,SOUTH ASIA,Stub,1115331693.0
57,Hafizullah Shabaz Khail,Afghanistan,41.1,SOUTH ASIA,Start,1092416288.0
58,Rouh Gul Khairzad,Afghanistan,41.1,SOUTH ASIA,Stub,925562571.0
59,Masoud Khalili,Afghanistan,41.1,SOUTH ASIA,GA,1103105365.0
60,Mohammad Khan (athlete),Afghanistan,41.1,SOUTH ASIA,Stub,1070779097.0
61,Samoud Khan,Afghanistan,41.1,SOUTH ASIA,Start,1010948755.0
62,Farzana Kochai,Afghanistan,41.1,SOUTH ASIA,Stub,1079430136.0
63,Farida Kuchi,Afghanistan,41.1,SOUTH ASIA,Start,1109436134.0
64,Baran Khan Kudezai,Afghanistan,41.1,SOUTH ASIA,Start,1106151353.0
65,Azizullah Lodin,Afghanistan,41.1,SOUTH ASIA,Start,1102817004.0
66,Razaq Mamoon,Afghanistan,41.1,SOUTH ASIA,Start,1100189662.0
67,Fazel Ahmed Manawi,Afghanistan,41.1,SOUTH ASIA,Stub,1106464575.0
68,Moeen Marastial,Afghanistan,41.1,SOUTH ASIA,Start,1102907176.0
69,Ahmad Massoud,Afghanistan,41.1,SOUTH ASIA,C,1112608262.0
70,Ahmad Wali Massoud,Afghanistan,41.1,SOUTH ASIA,Start,1108236868.0
71,Mohammad Daud Miraki,Afghanistan,41.1,SOUTH ASIA,C,1112192884.0
72,Abdul Sattar Mirzakwal,Afghanistan,41.1,SOUTH ASIA,Stub,1044450376.0
73,Abdul Karim Misaq,Afghanistan,41.1,SOUTH ASIA,Stub,1052669338.0
74,Ali Mohammad (politician),Afghanistan,41.1,SOUTH ASIA,Stub,1050463798.0
75,Nasruddin Mohseni,Afghanistan,41.1,SOUTH ASIA,Start,1095044526.0
76,Davood Moradian,Afghanistan,41.1,SOUTH ASIA,Stub,1106284627.0
